exercise_id,title,exercise_type,body_part,equipment,difficulty_level
75,MetaBurn Alternating Dumbbell Sit-Through,Strength,Abdominals,Dumbbell,Intermediate
76,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,Strength,Abdominals,Dumbbell,Intermediate
77,MetaBurn Alternating Plank Row With Push-Up,Strength,Abdominals,Dumbbell,Intermediate
78,MetaBurn Dumbbell Russian Twist,Strength,Abdominals,Dumbbell,Intermediate
79,MetaBurn Dumbbell Toe-Touch,Strength,Abdominals,Dumbbell,Intermediate
80,MetaBurn Plank To Alternating Row,Strength,Abdominals,Dumbbell,Intermediate
81,Standing dumbbell knee crunch-,Strength,Abdominals,Dumbbell,Intermediate
82,MetaBurn Plank With Dumbbell Rotation,Strength,Abdominals,Dumbbell,Intermediate
83,FYR2 Dumbbell Crab Reach,Strength,Abdominals,Dumbbell,Intermediate
84,FYR2 Dumbbell Man-Maker,Strength,Abdominals,Dumbbell,Intermediate
85,FYR2 Dumbbell Sit-Up Reach,Strength,Abdominals,Dumbbell,Intermediate
86,FYR2 Loaded Beast Sprawl,Strength,Abdominals,Dumbbell,Intermediate
87,FYR2 Loaded to Unloaded Beast,Strength,Abdominals,Dumbbell,Intermediate
88,Lying Leg Pullover,Strength,Abdominals,Dumbbell,Intermediate
89,Landmine twist,Strength,Abdominals,Other,Intermediate
90,Suspended ab fall-out,Strength,Abdominals,Other,Intermediate
91,Decline reverse crunch,Strength,Abdominals,Other,Intermediate
92,Plate Twist,Strength,Abdominals,Other,Beginner
93,Weighted Crunches,Strength,Abdominals,Other,Intermediate
94,Ab Roller,Strength,Abdominals,Other,Intermediate
95,Otis-Up,Strength,Abdominals,Other,Intermediate
96,Captain's chair knee raise,Strength,Abdominals,Other,Intermediate
97,Sledgehammer swing,Plyometrics,Abdominals,Other,Intermediate
98,Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate
99,Pallof press,Strength,Abdominals,Other,Intermediate
100,Weighted Sit-Ups - With Bands,Strength,Abdominals,Other,Intermediate
101,Suitcase crunch,Strength,Abdominals,Other,Intermediate
102,FYR Rope Jumping,Strength,Abdominals,Other,Intermediate
103,Barbell press sit-up,Strength,Abdominals,Other,Intermediate
104,Single-arm bent-over rear delt fly,Strength,Abdominals,Other,Intermediate
105,Captain's chair leg raise,Strength,Abdominals,Other,Intermediate
106,Shoulder-Elevated One-Leg Hip Thrusts,Strength,Abdominals,Other,Intermediate
107,Ab Twist - Gethin Variation,Strength,Abdominals,Other,Intermediate
108,Weighted Crunch - Gethin Variation,Strength,Abdominals,Other,Intermediate
109,Ab Wheel Roll-Out - Gethin Variation,Strength,Abdominals,Other,Intermediate
110,Bench crunch,Strength,Abdominals,Other,Intermediate
111,Decline plate sit-up twist,Strength,Abdominals,Other,Intermediate
112,Reverse ab roll-out,Strength,Abdominals,Other,Intermediate
113,30 Seated Twist With PVC Pipe,Strength,Abdominals,Other,Intermediate
114,Suspended crunch-,Strength,Abdominals,Other,Intermediate
115,Suspended oblique crunch,Strength,Abdominals,Other,Intermediate
116,Weighted sit-up,Strength,Abdominals,Other,Intermediate
117,30 Decline Press Sit-Up,Strength,Abdominals,Other,Intermediate
118,Holman Towel Reverse Plank Alternating Heel Pull-in,Strength,Abdominals,Other,Intermediate
119,Holman Boat with Weighted Cross Punch,Strength,Abdominals,Other,Intermediate
120,Holman Weighted Hook Punch,Strength,Abdominals,Other,Intermediate
121,Holman Weighted Traveling Punch,Strength,Abdominals,Other,Intermediate
122,Holman Weighted Uppercut Punch,Strength,Abdominals,Other,Intermediate
123,Holman Slow Weighted Double Pike,Strength,Abdominals,Other,Intermediate
124,Holman Plate Straight Plank Reach,Strength,Abdominals,Other,Intermediate
125,Holman Plate Elbow Plank Jack to Straight Plank Jack,Strength,Abdominals,Other,Intermediate
126,Holman Plate Hill Climber,Strength,Abdominals,Other,Intermediate
127,Holman Plate Reverse Plank Hill Climber,Strength,Abdominals,Other,Intermediate
128,Holman Plate Straight Plank Pike to Jack,Strength,Abdominals,Other,Intermediate
129,Holman Plate In-and-Out Push-Up,Strength,Abdominals,Other,Intermediate
130,Holman Plate Burpee,Strength,Abdominals,Other,Intermediate
131,Holman Plate Elbow Plank Reach,Strength,Abdominals,Other,Intermediate
132,Holman Elbow Plank to Renegade Row,Strength,Abdominals,Other,Intermediate
133,Holman Straight Plank Weighted Hand Hill Climber,Strength,Abdominals,Other,Intermediate
134,Holman Weighted Left Side Diagonal Pike,Strength,Abdominals,Other,Intermediate
135,Holman Weighted Right Side Diagonal Pike,Strength,Abdominals,Other,Intermediate
136,Holman Weighted W-Boat to Overhead Press,Strength,Abdominals,Other,Intermediate
137,Holman Weighted Kneeling Lift,Strength,Abdominals,Other,Intermediate
138,Holman Hips-Up Weighted Pull-Over,Strength,Abdominals,Other,Intermediate
139,Holman Weighted Cross Punch,Strength,Abdominals,Other,Intermediate
140,Holman Straight-Leg Boat Hover Chest Press,Strength,Abdominals,Other,Intermediate
141,Holman Weighted Pike,Strength,Abdominals,Other,Intermediate
142,Holman Feet-Elevated Wax-On Wax-Off,Strength,Abdominals,Other,Intermediate
143,Holman Elbow Plank to Towel Pike,Strength,Abdominals,Other,Intermediate
144,Holman Seated Killer Abs Overhead Press,Strength,Abdominals,Other,Intermediate
145,Holman Straight Plank Alternating Weighted Open,Strength,Abdominals,Other,Intermediate
146,Holman Weighted Killer Abs with Overhead Press,Strength,Abdominals,Other,Intermediate
147,Holman Weighted Split-Leg Pike,Strength,Abdominals,Other,Intermediate
148,Holman Towel Reverse Plank Heel Pull-in,Strength,Abdominals,Other,Intermediate
149,Stick Twist,Strength,Abdominals,Other,Intermediate
150,Roc Everest,Cardio,Abdominals,Other,Intermediate
151,Standing cable low-to-high twist,Strength,Abdominals,Cable,Intermediate
152,Single-arm high-cable side bend,Strength,Abdominals,Cable,Intermediate
153,Kneeling cable oblique crunch,Strength,Abdominals,Cable,Intermediate
154,Kneeling cable crunch,Strength,Abdominals,Cable,Intermediate
155,Rope Crunch,Strength,Abdominals,Cable,Intermediate
156,Standing cable crunch,Strength,Abdominals,Cable,Intermediate
157,Bosu Ball Cable Crunch With Side Bends,Strength,Abdominals,Cable,Beginner
158,Standing Cable Wood Chop,Strength,Abdominals,Cable,Intermediate
159,Cable reverse crunch,Strength,Abdominals,Cable,Beginner
160,Cable Russian Twists,Strength,Abdominals,Cable,Beginner
161,Pallof press with rotation,Strength,Abdominals,Cable,Intermediate
162,Cable Seated Crunch,Strength,Abdominals,Cable,Beginner
163,Cable Judo Flip,Strength,Abdominals,Cable,Beginner
164,Exercise Ball Cable Crunch - Gethin Variation,Strength,Abdominals,Cable,Intermediate
165,Standing cable high-to-low twist,Strength,Abdominals,Cable,Intermediate
166,Bent-Over Reverse Cable Fly,Strength,Abdominals,Cable,Intermediate
167,Standing Cable Crunch - Gethin Variation,Strength,Abdominals,Cable,Intermediate
168,AM Cable Crunch,Strength,Abdominals,Cable,Intermediate
169,Tyler Holt Weighted Knee-To-Chest Crunch,Strength,Abdominals,Cable,Intermediate
170,Standing cable twist,Strength,Abdominals,Cable,Intermediate
171,30 Cable Rope Crunch,Strength,Abdominals,Cable,Intermediate
172,30 Cable Rope Oblique Crunch,Strength,Abdominals,Cable,Intermediate
173,Cable lying twist on ball,Strength,Abdominals,Cable,Intermediate
174,30 Cable Pallof Press,Strength,Abdominals,Cable,Intermediate
175,30 Cable Reverse Crunch On Ball,Strength,Abdominals,Cable,Intermediate
176,30 Cable Reverse Crunch,Strength,Abdominals,Cable,Intermediate
177,Tyler Holt Cable Torso Twist,Strength,Abdominals,Cable,Intermediate
178,Single-Arm Cable Outward-Facing Biceps Curl,Strength,Abdominals,Cable,Intermediate
179,Biceps Rope Curl,Strength,Abdominals,Cable,Intermediate
180,Kneeling Cable Crunches,Strength,Abdominals,Cable,Intermediate
181,Ab Crunch Machine,Strength,Abdominals,Machine,Intermediate
182,Smith machine straight-legged hip raise,Strength,Abdominals,Machine,Intermediate
183,Machine crunch,Strength,Abdominals,Machine,Intermediate
184,AM Ab Machine,Strength,Abdominals,Machine,Intermediate
185,Smith machine V-up,Strength,Abdominals,Machine,Intermediate
186,Elbow plank,Strength,Abdominals,Body Only,Intermediate
187,Bottoms Up,Strength,Abdominals,Body Only,Intermediate
188,Spider crawl,Strength,Abdominals,Body Only,Intermediate
189,Cocoons,Strength,Abdominals,Body Only,Intermediate
190,Cross-Body Crunch,Strength,Abdominals,Body Only,Intermediate
191,Elbow-to-knee crunch,Strength,Abdominals,Body Only,Intermediate
192,Decline Crunch,Strength,Abdominals,Body Only,Intermediate
193,Hanging toes-to-bar,Strength,Abdominals,Body Only,Intermediate
194,Hanging Oblique Knee Raise,Strength,Abdominals,Body Only,Intermediate
195,Gorilla Chin/Crunch,Strength,Abdominals,Body Only,Beginner
196,Hanging leg raise,Strength,Abdominals,Body Only,Intermediate
197,Mountain climber,Plyometrics,Abdominals,Body Only,Intermediate
198,Ab bicycle,Strength,Abdominals,Body Only,Intermediate
199,3/4 sit-up,Strength,Abdominals,Body Only,Intermediate
200,Reverse crunch,Strength,Abdominals,Body Only,Intermediate
201,Crunches,Strength,Abdominals,Body Only,Intermediate
202,Dead bug reach,Strength,Abdominals,Body Only,Intermediate
203,Crunch - Hands Overhead,Strength,Abdominals,Body Only,Beginner
204,V-up,Strength,Abdominals,Body Only,Intermediate
205,Stomach Vacuum,Stretching,Abdominals,Body Only,Beginner
206,Russian twist,Strength,Abdominals,Body Only,Intermediate
207,Flat Bench Lying Leg Raise,Strength,Abdominals,Body Only,Intermediate
208,Knees tucked crunch,Strength,Abdominals,Body Only,Intermediate
209,Butt-Ups,Strength,Abdominals,Body Only,Beginner
210,Feet-elevated oblique crunch,Strength,Abdominals,Body Only,Intermediate
211,Bent-knee reverse crunch,Strength,Abdominals,Body Only,Intermediate
212,Alternating heel-touch,Strength,Abdominals,Body Only,Intermediate
213,Suspended Reverse Crunch,Strength,Abdominals,Body Only,Intermediate
214,Lying bench reverse crunch,Strength,Abdominals,Body Only,Intermediate
215,Sit-up,Strength,Abdominals,Body Only,Intermediate
216,Side Bridge,Strength,Abdominals,Body Only,Intermediate
217,Lying oblique crunch,Strength,Abdominals,Body Only,Intermediate
218,Janda Sit-Up,Strength,Abdominals,Body Only,Beginner
219,Leg Pull-In,Strength,Abdominals,Body Only,Beginner
220,Side Jackknife,Strength,Abdominals,Body Only,Intermediate
221,Scissor Kick,Stretching,Abdominals,Body Only,Intermediate
222,Toe Touchers,Stretching,Abdominals,Body Only,Intermediate
223,Lower Back Curl,Stretching,Abdominals,Body Only,Intermediate
224,Exercise ball torso rotation,Stretching,Abdominals,Body Only,Intermediate
225,Seated Overhead Stretch,Stretching,Abdominals,Body Only,Intermediate
226,Overhead Stretch,Stretching,Abdominals,Body Only,Intermediate
227,Seated Scissor Kick,Strength,Abdominals,Body Only,Intermediate
228,Partner resistance standing twist,Strength,Abdominals,Body Only,Intermediate
229,Cross Crunch,Strength,Abdominals,Body Only,Beginner
230,Full Moon,Strength,Abdominals,Body Only,Beginner
231,Hanging knee raise with manual resistance,Strength,Abdominals,Body Only,Beginner
232,Straight-Legged Hip Raise,Strength,Abdominals,Body Only,Intermediate
233,Wall mountain climber,Plyometrics,Abdominals,Body Only,Intermediate
234,Skin The Cat To Push-Up,Strength,Abdominals,Body Only,Intermediate
235,Partner lying leg raise with lateral throw down,Strength,Abdominals,Body Only,Beginner
236,Hanging leg raise with throw down,Strength,Abdominals,Body Only,Beginner
237,Partner sit-up with high-five,Strength,Abdominals,Body Only,Beginner
238,Exercise ball knee roll-in,Strength,Abdominals,Body Only,Intermediate
239,Partner lying leg raise with throw down,Strength,Abdominals,Body Only,Beginner
240,Crab toe-touch,Strength,Abdominals,Body Only,Intermediate
241,Side kick-through,Strength,Abdominals,Body Only,Intermediate
242,Partner target sit-up,Strength,Abdominals,Body Only,Beginner
243,Suspended Crunch,Strength,Abdominals,Body Only,Beginner
244,Jump Lunge,Strength,Abdominals,Body Only,Intermediate
245,Side plank hip dip,Strength,Abdominals,Body Only,Intermediate
246,Elbow plank jack,Strength,Abdominals,Body Only,Intermediate
247,Exercise ball V-up,Strength,Abdominals,Body Only,Intermediate
248,Standing torso twist stretch,Strength,Abdominals,Body Only,Intermediate
249,Slalom jumps,Plyometrics,Abdominals,Body Only,Intermediate
250,Bear crawl,Strength,Abdominals,Body Only,Intermediate
251,Crab single-arm reach,Stretching,Abdominals,Body Only,Intermediate
252,Side lunge cross-body heel-touch,Strength,Abdominals,Body Only,Intermediate
253,Alligator Crawl,Strength,Abdominals,Body Only,Intermediate
254,Lying cross-over lower back stretch,Strength,Abdominals,Body Only,Intermediate
255,Half bird dog,Stretching,Abdominals,Body Only,Intermediate
256,Shoulder tap,Strength,Abdominals,Body Only,Intermediate
257,Double crunch,Strength,Abdominals,Body Only,Intermediate
258,Flutter kick,Strength,Abdominals,Body Only,Intermediate
259,Sprawl,Strength,Abdominals,Body Only,Intermediate
260,Spider plank jack,Strength,Abdominals,Body Only,Intermediate
261,Pillar-To-Plank,Strength,Abdominals,Body Only,Intermediate
262,Alternating High Knee Raise,Strength,Abdominals,Body Only,Intermediate
263,Sumo Squat Pulse,Strength,Abdominals,Body Only,Intermediate
264,Line-Drill Foot Work,Strength,Abdominals,Body Only,Intermediate
265,Plank Fire Hydrants,Strength,Abdominals,Body Only,Intermediate
266,Banded jumping jack,Strength,Abdominals,Body Only,Intermediate
267,Shin hug,Strength,Abdominals,Body Only,Intermediate
268,FYR Bear Crawl Fire Feet,Strength,Abdominals,Body Only,Intermediate
269,Bear crawl up-down,Strength,Abdominals,Body Only,Intermediate
270,FYR Crab Kick,Strength,Abdominals,Body Only,Intermediate
271,Bear crawl hold,Strength,Abdominals,Body Only,Intermediate
272,Traveling bear crawl,Strength,Abdominals,Body Only,Intermediate
273,Single-leg V-up,Strength,Abdominals,Body Only,Intermediate
274,FYR Bear Crawl Shoulder Tap,Strength,Abdominals,Body Only,Intermediate
275,Alternating single-leg sprawl,Strength,Abdominals,Body Only,Intermediate
276,Wide mountain climber,Strength,Abdominals,Body Only,Intermediate
277,Plank leg raise,Strength,Abdominals,Body Only,Intermediate
278,Glute bridge step-out,Strength,Abdominals,Body Only,Intermediate
279,Knee up-down,Strength,Abdominals,Body Only,Intermediate
280,FYR Sprawl,Strength,Abdominals,Body Only,Intermediate
281,Reach crunch,Strength,Abdominals,Body Only,Intermediate
282,FYR Push-Up Plank Hold,Strength,Abdominals,Body Only,Intermediate
283,FYR Hollow-Body Rock,Strength,Abdominals,Body Only,Intermediate
284,V-up plus knee-to-chest combo,Strength,Abdominals,Body Only,Intermediate
285,Side plank lateral raise,Strength,Abdominals,Body Only,Intermediate
286,Superhero burpee,Strength,Abdominals,Body Only,Intermediate
287,Hollow-body abduction,Strength,Abdominals,Body Only,Intermediate
288,FYR Hollow Hold,Strength,Abdominals,Body Only,Intermediate
289,Tip-toe crunch,Strength,Abdominals,Body Only,Intermediate
290,Knee-to-nose pulse,Strength,Abdominals,Body Only,Intermediate
291,Plank walk-out,Strength,Abdominals,Body Only,Intermediate
292,FYR V-Up,Strength,Abdominals,Body Only,Intermediate
293,Long sit-up,Strength,Abdominals,Body Only,Intermediate
294,FYR Breakdancer,Strength,Abdominals,Body Only,Intermediate
295,Seated leg lift,Strength,Abdominals,Body Only,Intermediate
296,Gorilla burpee,Strength,Abdominals,Body Only,Intermediate
297,Knee-in to V-out,Strength,Abdominals,Body Only,Intermediate
298,Bear crawl push-up,Strength,Abdominals,Body Only,Intermediate
299,FYR Front Step,Strength,Abdominals,Body Only,Intermediate
300,Plank reach,Strength,Abdominals,Body Only,Intermediate
301,Eiffel Tower leg raise,Strength,Abdominals,Body Only,Intermediate
302,Straight-arm plank,Strength,Abdominals,Body Only,Intermediate
303,Plank up-down,Strength,Abdominals,Body Only,Intermediate
304,Frog kick,Strength,Abdominals,Body Only,Intermediate
305,FYR Knees to Chest,Strength,Abdominals,Body Only,Intermediate
306,Front kick-through,Strength,Abdominals,Body Only,Intermediate
307,FYR Sit-Up,Strength,Abdominals,Body Only,Intermediate
308,FYR Leg Lift,Strength,Abdominals,Body Only,Intermediate
309,TBS Toes-to-bar,Strength,Abdominals,Body Only,Intermediate
310,FYR Mountain Climber,Strength,Abdominals,Body Only,Intermediate
311,Roman Chair Side Ups,Strength,Abdominals,Body Only,Intermediate
312,Push-Up Roll Out - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
313,Cross-Body Crunch - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
314,Decline leg lift with twist,Strength,Abdominals,Body Only,Intermediate
315,Hanging Leg Raise - Variation Gethin,Strength,Abdominals,Body Only,Intermediate
316,Butterfly crunch,Strength,Abdominals,Body Only,Intermediate
317,Cross-body mountain climber,Strength,Abdominals,Body Only,Intermediate
318,Flat Bench Lying Leg Raise - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
319,Lying leg lift,Strength,Abdominals,Body Only,Intermediate
320,Hanging alternating single-leg raise,Strength,Abdominals,Body Only,Intermediate
321,Plank Walk,Strength,Abdominals,Body Only,Intermediate
322,Sit-Up - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
323,Plank Push-Up,Strength,Abdominals,Body Only,Intermediate
324,Decline crunch-,Strength,Abdominals,Body Only,Intermediate
325,Alternating lying leg raise,Strength,Abdominals,Body Only,Intermediate
326,Decline leg lift,Strength,Abdominals,Body Only,Intermediate
327,Crunch - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
328,Plank - Gethin Variation,Strength,Abdominals,Body Only,Intermediate
329,Barbell floor wiper,Strength,Abdominals,Body Only,Intermediate
330,Prison Push-Up,Strength,Abdominals,Body Only,Intermediate
331,McGill Modified Curl-Up,Strength,Abdominals,Body Only,Intermediate
332,Cross-body toe-touch,Strength,Abdominals,Body Only,Intermediate
333,Toy soldier,Strength,Abdominals,Body Only,Intermediate
334,Natural Glute Ham Raise with Stability Ball,Strength,Abdominals,Body Only,Intermediate
335,Lateral ape,Strength,Abdominals,Body Only,Intermediate
336,Hollow-body knee tuck,Strength,Abdominals,Body Only,Intermediate
337,HM Air Jumping Rope,Strength,Abdominals,Body Only,Intermediate
338,HM Alternating Lunge Reach,Strength,Abdominals,Body Only,Intermediate
339,HM Alternating Side Plank Reach,Strength,Abdominals,Body Only,Intermediate
340,HM Superman Plank,Strength,Abdominals,Body Only,Intermediate
341,HM Table Pose,Strength,Abdominals,Body Only,Intermediate
342,HM Toe Touch,Strength,Abdominals,Body Only,Intermediate
343,HM Right Side Bird-Dog,Stretching,Abdominals,Body Only,Intermediate
344,HM Right Side Crunch,Strength,Abdominals,Body Only,Intermediate
345,HM Bicycle,Strength,Abdominals,Body Only,Intermediate
346,HM Bird-Dog Plank,Strength,Abdominals,Body Only,Intermediate
347,HM Boat Pose,Strength,Abdominals,Body Only,Intermediate
348,HM Bottoms Up,Strength,Abdominals,Body Only,Intermediate
349,HM Bridge,Strength,Abdominals,Body Only,Intermediate
350,HM Running Man Crunch,Cardio,Abdominals,Body Only,Intermediate
351,HM Seated Twist,Strength,Abdominals,Body Only,Intermediate
352,HM Side-Bend Pose,Strength,Abdominals,Body Only,Intermediate
353,HM Side-Plank Arm Wrap,Strength,Abdominals,Body Only,Intermediate
354,HM Side-Plank with Hip Touch,Strength,Abdominals,Body Only,Intermediate
355,HM Side-Plank with Kick,Strength,Abdominals,Body Only,Intermediate
356,HM Side V-Up,Strength,Abdominals,Body Only,Intermediate
357,HM Crab Crunch,Strength,Abdominals,Body Only,Intermediate
358,HM Cross-Over Crunch,Strength,Abdominals,Body Only,Intermediate
359,HM Crunch Pulse,Strength,Abdominals,Body Only,Intermediate
360,HM Dead Bug,Strength,Abdominals,Body Only,Intermediate
361,HM Single-Leg Inchworm,Strength,Abdominals,Body Only,Intermediate
362,HM Floor Jack,Strength,Abdominals,Body Only,Intermediate
363,HM Floor Wiper,Strength,Abdominals,Body Only,Intermediate
364,HM Floor Kick,Strength,Abdominals,Body Only,Intermediate
365,HM Sit-Up,Strength,Abdominals,Body Only,Intermediate
366,HM Slow Mountain Climber,Strength,Abdominals,Body Only,Intermediate
367,HM Slow Sit-Up,Strength,Abdominals,Body Only,Intermediate
368,HM Half-Up,Strength,Abdominals,Body Only,Intermediate
369,HM Hollow-Body Pulse,Strength,Abdominals,Body Only,Intermediate
370,HM Hollow Hold,Strength,Abdominals,Body Only,Intermediate
371,HM Inchworm,Strength,Abdominals,Body Only,Intermediate
372,HM Right Side Hollow Hold with Pulse,Strength,Abdominals,Body Only,Intermediate
373,HM Reverse Crunch with Frisbee,Strength,Abdominals,Body Only,Intermediate
374,HM Left Side Bird-Dog,Strength,Abdominals,Body Only,Intermediate
375,HM Left Side Crunch,Strength,Abdominals,Body Only,Intermediate
376,HM Left Side Hollow Hold With Pulse,Strength,Abdominals,Body Only,Intermediate
377,HM Reverse Crunch,Strength,Abdominals,Body Only,Intermediate
378,HM Low Lunge With External Twist And Arm Reach,Strength,Abdominals,Body Only,Intermediate
379,HM Mountain Climber,Strength,Abdominals,Body Only,Intermediate
380,HM Prison Sit-Up,Strength,Abdominals,Body Only,Intermediate
381,HM Plank Alternating Hip-Dip,Strength,Abdominals,Body Only,Intermediate
382,HM Tuck-Up Get-Up,Strength,Abdominals,Body Only,Intermediate
383,HM Flutter Kick,Strength,Abdominals,Body Only,Intermediate
384,HM Plank,Strength,Abdominals,Body Only,Intermediate
385,McGill Pull-Up,Strength,Abdominals,Body Only,Intermediate
386,AM Leg Lift,Strength,Abdominals,Body Only,Intermediate
387,AM Decline Abs,Strength,Abdominals,Body Only,Intermediate
388,Hanging crunch,Strength,Abdominals,Body Only,Intermediate
389,Tyler Holt Hanging Toes-To-Bar,Strength,Abdominals,Body Only,Intermediate
390,Side plank,Strength,Abdominals,Body Only,Intermediate
